# threads 	 Avg Time (s) 	 Speedup 	 Efficiency
1	0.087436	1.000000	1.000000
2	0.046492	1.880687	0.940343
3	0.029995	2.915022	0.971674
4	0.023921	3.655177	0.913794
5	0.018528	4.719232	0.943846
6	0.015678	5.577135	0.929522
7	0.013952	6.266973	0.895282
8	0.012717	6.875761	0.859470
9	0.017755	4.924695	0.547188
10	0.017707	4.937827	0.493783
11	0.015694	5.571358	0.506487
12	0.014804	5.906320	0.492193
13	0.013532	6.461288	0.497022
14	0.012777	6.843188	0.488799
15	0.012887	6.785097	0.452340
16	0.011510	7.596854	0.474803
