# NumProcesses	AvgTime	Speedup	Efficiency
1	40.849538	1.000000	1.000000
2	18.930109	2.157914	1.078957
3	13.576919	3.008749	1.002916
4	10.461878	3.904609	0.976152
5	9.023271	4.527132	0.905426
6	7.640627	5.346359	0.891060
7	6.891845	5.927228	0.846747
8	6.452851	6.330464	0.791308
9	7.263191	5.624186	0.624910
10	6.908746	5.912728	0.591273
11	6.818406	5.991069	0.544643
12	6.641628	6.150531	0.512544
13	6.528913	6.256713	0.481286
14	6.221386	6.565987	0.468999
15	5.983399	6.827146	0.455143
16	5.848943	6.984089	0.436506
